;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32250;10058134;Weekend;http://www.wikidata.org/entity/Q15853796;Weekend;;;männlich;1986-02-01T00:00:00Z;;http://www.wikidata.org/entity/Q2765;;
32251;10058135;Wiesen;http://www.wikidata.org/entity/Q95124923;Wiesen;;;;;;;;
32252;10058136;Staats;;;;;;;;;;
32253;10058137;Bodenmatte;;;;;;;;;;
32254;10058138;Isel;http://www.wikidata.org/entity/Q120540;Rolf Iseli;Rolf;Iseli;männlich;1934-01-22T00:00:00Z;;http://www.wikidata.org/entity/Q70;;
32255;10058139;Moos;;;;;;;;;;
32256;10058140;Sekundarschul;;;;;;;;;;
32257;10058248;Hechten;;;;;;;;;;
32258;10058249;Längmatt;;;;;;;;;;
32259;10058250;Pagan;http://www.wikidata.org/entity/Q66075;Niccolò Paganini;Niccolò;Paganini;männlich;1782-10-27T00:00:00Z;1840-05-27T00:00:00Z;http://www.wikidata.org/entity/Q1449;http://www.wikidata.org/entity/Q33959;
32260;10058251;Schleusen;;;;;;;;;;
32261;10058252;Ufer;http://www.wikidata.org/entity/Q2546603;Walter Ufer;Walter;Ufer;männlich;1876-07-22T00:00:00Z;1936-08-02T00:00:00Z;http://www.wikidata.org/entity/Q11038;http://www.wikidata.org/entity/Q38555;
32262;10058253;Aare;http://www.wikidata.org/entity/Q2643386;Alexander von Brosch-Aarenau;Alexander;;männlich;1870-10-08T00:00:00Z;1914-09-07T00:00:00Z;http://www.wikidata.org/entity/Q83404;http://www.wikidata.org/entity/Q997343;
32263;10058254;Finken;;;;;;;;;;
32264;10058256;Neumatt;;;;;;;;;;
32265;10058257;Rosen;http://www.wikidata.org/entity/Q1682174;Jan Rosen;Jan;Rosen;männlich;1854-10-16T00:00:00Z;1936-11-08T00:00:00Z;http://www.wikidata.org/entity/Q270;http://www.wikidata.org/entity/Q270;
32266;10058258;Schulhaus;;;;;;;;;;
32267;10058259;Wald;;;;;;;;;;
32268;10058262;Autobahn A6;;;;;;;;;;
32269;10058263;Brunnmatt;;;;;;;;;;
32270;10058286;Aussermatt;;;;;;;;;;
32271;10058287;Hangimaad;;;;;;;;;;
32272;10058293;Hubel;http://www.wikidata.org/entity/Q295644;David H. Hubel;Hunter;Hubel;männlich;1926-02-27T00:00:00Z;2013-09-22T00:00:00Z;http://www.wikidata.org/entity/Q182625;http://www.wikidata.org/entity/Q663035;
32273;10058295;Halen;http://www.wikidata.org/entity/Q980493;Juraj Halenár;Juraj;Halenár;männlich;1983-06-28T00:00:00Z;2018-06-30T00:00:00Z;http://www.wikidata.org/entity/Q26175;http://www.wikidata.org/entity/Q1780;
32274;10058307;Brindli;http://www.wikidata.org/entity/Q2572106;Wilhelm Brindlinger;Wilhelm;;männlich;1890-10-21T00:00:00Z;1967-07-19T00:00:00Z;http://www.wikidata.org/entity/Q5655;http://www.wikidata.org/entity/Q1726;
32275;10058308;Chrützsteinrüti;;;;;;;;;;
32276;10058309;Nellenberg;;;;;;;;;;
32277;10058332;Löchli;http://www.wikidata.org/entity/Q76119496;Q76119496;;;männlich;;;;;
32278;10058333;Steinboden;;;;;;;;;;
32279;10058334;Scharten;;;;;;;;;;
32280;10058335;Glarnern;;;;;;;;;;
32281;10058336;Müserberg;;;;;;;;;;
32282;10058337;Stöckenen;;;;;;;;;;
32283;10058340;Höchmatt;;;;;;;;;;
32284;10058356;Muling;http://www.wikidata.org/entity/Q484359;Seonjo;Yeon;Lee;männlich;1552-11-21T00:00:00Z;1608-02-01T00:00:00Z;http://www.wikidata.org/entity/Q16092809;http://www.wikidata.org/entity/Q482631;
